hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,lum_class
K2-272,G,5419,0.81,0.81,-0.28,[Fe/H],-0.302,4.53,,2.577,V
Kepler-492,G,5527,0.91,0.94,0.07,[Fe/H],-0.299,4.5,4.57,2.65963,V
Kepler-971,G,5431,0.85,0.88,-0.06,[Fe/H],-0.299,4.54,4.47,1.72343,V
Kepler-656,K,5281,0.82,0.86,-0.04,[Fe/H],-0.299,4.56,4.37,0.53763,V
Kepler-865,G,5570,0.92,0.93,-0.01,[Fe/H],-0.298,4.49,4.27,1.51938,IV-V
Kepler-733,G,5418,0.86,0.9,0.01,[Fe/H],-0.298,4.53,4.27,2.62459,V
Kepler-1415,G,5267,0.84,0.89,0.12,[Fe/H],-0.297,4.54,4.17,5.77265,V
WASP-6,G,5450,0.73,0.55,-0.2,[Fe/H],-0.297,4.6,11,2.01,V
Kepler-29,G,5378,0.73,0.76,-0.44,[Fe/H],-0.297,4.6,0.3,3.18827,V
Kepler-570,G,5496,0.9,0.93,0.06,[Fe/H],-0.296,4.5,5.01,4.21558,V
Kepler-1123,G,5500,0.9,0.93,0.05,[Fe/H],-0.295,4.5,5.13,3.18576,V
WASP-67,K,5200,0.88,0.91,-0.07,[Fe/H],-0.294,4.35,12.6,1.88,IV
Kepler-1681,G,5756.4,0.76,0.89,0.106,[M/H],-0.293,4.54,3.3,3.45002,V
Kepler-1377,K,5218,0.82,0.86,0.05,[Fe/H],-0.293,4.55,5.01,4.41831,V
Kepler-1114,G,5374,0.83,0.87,-0.08,[Fe/H],-0.293,4.55,4.27,8.90485,V
Kepler-1281,G,5353,0.83,0.87,-0.04,[Fe/H],-0.292,4.55,4.37,2.44249,V
Kepler-137,K,5187,0.8,0.91,-0.02,[Fe/H],-0.292,4.55,4.27,2.00607,V
Kepler-632,K,5322,0.84,0.91,0.11,[Fe/H],-0.292,4.55,3.02,2.93386,V
Kepler-48,K,5194,0.89,0.88,0.17,[Fe/H],-0.289,4.49,3.14,1.98,V
K2-159,G,5425,0.83,0.9,-0.07,[Fe/H],-0.289,4.56,,2.7842,V
Kepler-322,G,5388,0.89,0.92,0.05,[Fe/H],-0.288,4.5,14,2.17106,V
Kepler-1021,G,5431,0.86,0.89,-0.05,[Fe/H],-0.288,4.53,4.68,6.58918,V
Kepler-468,G,5498,0.87,0.96,0.1,[Fe/H],-0.286,4.54,2,3.71454,V
Kepler-1153,G,5470,0.88,0.91,0.03,[Fe/H],-0.284,4.52,4.57,2.57091,V
K2-178,G,5525,0.89,0.95,0.09,[Fe/H],-0.284,4.55,,2.14054,V
Kepler-1295,G,5486,0.89,0.92,0.04,[Fe/H],-0.283,4.51,4.68,4.18978,V
Kepler-985,G,5434,0.85,0.91,0,[Fe/H],-0.283,4.54,3.39,3.13923,V
