hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_vmag,sy_kmag,sy_gaiamag,lum_class,sub_class
HD 39091,G,6037,1.1,1.09,0.08,0.16,4.42,2.98,1.148,5.65,4.241,5.5128,V,0
HD 156846,G,6090,1.9,1.38,0.15,0.697,4.02,2.4,0.20369,6.5,5.149,6.3623,V,0
HD 209458,G,6091,1.19,1.23,0.01,0.231,4.45,3.1,1.04,7.65,6.308,7.50866,V,0
HD 187085,G,6117,1.27,1.19,0.12,2.13,4.28,2.747,0.6538,7.22,5.876,7.07508,V,0
HD 159243,G,6123,1.12,1.12,0.05,0.114,4.55,1.25,1.17388,8.65,7.297,8.51188,V,0
Kepler-1655,G,6148,1.03,1.03,-0.24,0.143,4.36,2.56,1.3,11.045,9.785,11.0141,V,0
K2-100,G,6168,1.22,1.23,0.26,0.25,4.35,0.79,3.217,10.651,9.182,10.4053,V,0
psi 1 Dra B,G,6212,1.26,1.19,0.01,0.326,4.2,3.3,0.88558,5.808,4.527,5.64766,V,0
GJ 504,G,6234,1.26,1.22,0.28,0.332,4.6,0.16,0.63882,5.18799,4.033,5.04156,V,0
XO-7,G,6250,1.48,1.41,0.432,0.431,4.25,1.18,0.45108,10.521,9.241,10.4575,V,0
HD 213240,G,5979,1.51,1.57,0.15,0.429,4.27,4.6,0.44103,6.81,5.354,6.65761,V,0
TOI-837,G,6047,1.02,1.12,-0.069,0.041,4.47,0.035,1.4,10.635,8.933,10.356,V,0
HN Peg,G,5927.14,1.01,1.08,-0.036,0.055,4.46,3.1,1.47538,5.97707,4.559,5.82363,V,0
HD 52265,G,6136,1.32,1.2,0.21,0.297,4.36,3.5,0.57144,6.29351,4.953,6.15257,V,0
HR 810,G,6167,1.13,1.34,0.16,0.253,4.46,2.72,1.0501,5.4,4.138,5.25587,V,0
HD 141004,G,5885.38,1.39,1.05,0.025,0.346,4.17,6.32,0.60737,4.4154,2.989,4.27965,V,0
WASP-151,G,5871,1.14,1.08,0.1,0.145,4.35,5.1,1.02,12.821,11.187,12.6278,,1
WASP-113,G,5890,1.61,1.32,0.1,0.516,4.2,6.2,0.447,11.761,10.311,11.6041,,1
WASP-129,G,5900,0.9,1,0.15,0.112,4.53,1,1.94,12.179,10.412,11.8127,,1
HD 142,G,6245,1.47,1.23,0.09,0.474,4.62,3.12,0.55028,5.7,4.474,5.58442,IV,1
HIP 67522,G,5675,1.38,1.22,0,0.243,4.2,0.017,0.65,9.79,8.164,9.63261,V,1
Kepler-426,G,5725,0.92,0.91,-0.21,-0.089,4.47,6,1.17,15.032,13.212,14.8069,V,1
XO-1,G,5750,0.88,0.88,0.02,-0.086,4.51,0.9,1.79,11.251,9.527,11.004,V,1
HD 16417,G,5841,1.64,1.2,0.06,0.443,4.16,7,0.35078,5.78,4.246,5.61319,V,1
HD 86226,G,5863,1.05,1.02,0.018,0.072,4.4,4.6,1.233,7.93,6.463,7.7713,V,1
TOI-169,G,5880,1.29,1.15,0.24,0.253,4.28,4.7,0.756,12.355,10.815,12.2379,V,1
WASP-60,G,5900,1.17,1.19,-0.04,0.347,4.2,1.7,1.03,11.67,10.585,12.0196,V,1
HD 10180,G,5911,1.11,1.06,0.08,0.173,4.39,4.3,0.92213,7.33,5.868,7.17261,V,1
HD 142415,G,5940,1.04,1.07,0.13,0.06,4.44,1.1,1.30524,7.33,5.892,7.17789,V,1
HD 147873,G,5972,2.29,1.38,0.03,0.777,3.86,4,0.11307,7.96,6.581,7.81828,V,1
WASP-22,G,6000,1.24,1.46,-0.05,0.245,4.5,3,1.08,11.99,10.318,11.5821,V,1
HD 196067,G,6017,1.73,1.29,0.18,0.572,4.24,3.3,0.31274,6.51,5.08,6.33009,V,1
HD 50499,G,6102,1.35,1.25,0.26,0.376,4.25,2.391,0.50998,7.21,5.836,7.0564,V,1
HD 20782,G,5782.13,1.13,1.04,-0.054,0.107,4.35,5.53,1.02483,7.36,5.827,7.19283,V,1
HD 45184,G,5869,1.05,1.03,0.04,0.053,4.47,6.8,1.28221,6.383,4.871,6.21037,V,1.5
HD 70573,G,5737,0.98,1,-0.18,-0.001,4.59,0.102,1.65157,8.667,7.191,8.54261,V,1.5
Kepler-452,G,5757,1.11,1.04,0.21,0.084,4.32,6,0.84,13.54,11.852,13.4048,,2
K2-111,G,5775,1.25,0.84,-0.46,0.279,4.25,12.3,0.6,11.13,9.377,10.9294,,2
WASP-126,G,5800,1.27,1.12,0.207,0.159,4.28,6.4,0.79,10.994,9.598,11.0665,,2
WASP-95,G,5830,1.23,1.46,0.14,0.178,4.36,2.4,1.09,10.092,8.564,9.93697,,2
HAT-P-65,G,5835,1.86,1.21,0.1,0.555,3.98,5.46,0.266,13.121,11.528,12.9952,,2
WASP-181,G,5839,0.96,1.04,0.09,0.049,4.49,2.5,1.64,12.924,11.443,12.783,,2
CoRoT-27,G,5900,1.08,1.05,-0.1,-0.166,4.4,4.21,1.24,15.774,12.985,15.3902,,2
CoRoT-31,G,5700,2.15,1.25,0,0.398,3.85,4.7,0.1518,15.479,13.426,15.4655,IV,2
Kepler-44,G,5800,1.35,1.12,0.15,0.347,4.22,5.8,0.63,14.803,12.878,14.6901,IV,2
HD 183263,G,5948,1.23,1.31,0.29,0.25,4.37,8.13,0.69443,7.86,6.422,7.71818,IV,2
