hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_vmag,sy_kmag,sy_gaiamag,lum_class,sub_class
HD 17156,G,6040,1.55,1.41,0.19,0.39,4.2,3.37,0.53,8.17,6.763,8.03298,,5
HD 1397,G,5521,2.34,1.32,0.29,0.66,3.82,4.51,0.147,7.79,5.988,7.59336,III/IV,5
HD 10697,G,5600,1.79,1.13,0.17,0.477,3.96,6.98,0.22439,6.28262,4.601,6.10286,IV,5
HD 179079,G,5646,1.63,1.14,0.24,0.38,4.16,6.99,0.2585,7.95,6.311,7.77454,IV,5
HD 188015,G,5746,1.1,1.09,0.289,0.059,4.45,6.61,1.12887,8.24,6.632,8.06588,IV,5
HD 16141,G,5757,1.48,1.11,0.13,0.366,4.14,7.51,0.41293,6.834,5.266,6.65773,IV,5
HD 170469,G,5842,1.24,1.1,0.29,0.204,4.3,6.7,0.69157,8.21,6.707,8.04953,IV,5
HD 48265,G,5733,1.9,1.31,0.3,0.584,3.97,4.201,0.16653,8.05,6.449,7.87925,IV-V,5
HD 68402,G,5950,1.02,1.12,0.29,0.068,4.47,2,1.15978,9.11,7.697,8.95443,IV-V,5
HAT-P-22,G,5302,1.11,1.13,0.24,-0.114,4.36,12.4,1.16,9.763,7.837,9.51936,V,5
HD 73267,G,5387,0.91,0.9,0.07,-0.106,4.45,8.14,1.60129,8.9,7.062,8.67835,V,5
HD 111232,G,5512,0.9,0.84,-0.43,-0.161,4.45,5.2,1.71663,7.59,5.898,7.40535,V,5
Kepler-22,G,5518,0.98,0.97,-0.29,-0.102,4.44,7.08,1.458,11.751,10.152,11.6444,V,5
HIP 91258,G,5519,0.89,0.97,0.23,-0.222,4.53,2.4,1.91925,8.65,6.893,8.45032,V,5
KOI-1257,G,5520,1.13,0.99,0.27,0.029,4.32,9.3,0.99,14.818,12.726,14.6419,V,5
Kepler-77,G,5520,0.99,0.95,0.2,-0.046,4.42,7.5,1.365,14.152,12.361,13.9172,V,5
HD 159868,G,5534,2.13,1.19,-0.08,0.556,3.92,7.57,0.15582,7.24,5.535,7.04579,V,5
HD 45350,G,5566,1.26,0.98,0.23,0.141,4.23,8,0.68347,7.89,6.224,7.7,V,5
61 Vir,G,5577,0.96,0.94,-0.01,-0.095,4.34,8.96,1.44933,4.6955,2.956,4.54052,V,5
HD 154857,G,5589,2.3,1.96,-0.22,0.663,4.01,5.64,0.11859,7.24,5.509,7.04837,V,5
Kepler-1654,G,5597,1.18,1.01,-0.088,0.09,4.3,5,0.876,13.497,11.922,13.4057,V,5
HD 49674,G,5602,1.02,1.03,0.32,-0.022,4.44,3.62,1.23163,8.1,6.432,7.91841,V,5
NGTS-18,G,5610,1.39,1,0.15,0.27,4.16,10.84,0.53884,14.588,12.87,14.3896,V,5
HD 65216,G,5612,0.88,0.87,-0.168,-0.15,4.44,4,2.02264,7.97,6.329,7.7943,V,5
EPIC 220674823,G,5617,0.98,0.97,0.13,-0.119,4.45,5,1.35,12.101,10.344,11.9535,V,5
HAT-P-36,G,5620,1.04,1.03,0.25,0.022,4.42,6.6,1.089,12.146,10.603,12.093,V,5
