pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
0.23109,3.013,4.32,0.9,445,cluster3
0.1796,9.11,123.00021,0.91,524,cluster3
0.0627,4.81,20.7,1.02,488,cluster4
0.0687,12.25,323.86877,0.963,957,cluster1
0.00716,1.51,5.08,8.2,2039,cluster4
0.0259,2.05,5.77,3.69,534,cluster4
0.091,2.48,6.71,2.42,676,cluster4
0.0373,1.49,2.83,4.7,566,cluster4
0.1716,2.29,5.86,2.68,337,cluster3
0.0614,2,4.66,3.2,497,cluster4
0.0405,1.99,4.62,3.22,715,cluster4
0.0677,2.07,4.94,3.06,552,cluster4
0.0562,1.8,3.89,3.67,708,cluster4
0.0946,2.6,7.27,2.27,583,cluster4
0.1937,1.9,4.27,3.42,381,cluster3
0.0149,1.15,1.6,5.78,1347,cluster4
0.0887,2.64,7.46,2.23,794,cluster4
0.0622,1.28,2.18,5.71,948,cluster4
0.1013,2.26,5.73,2.73,684,cluster4
0.0667,2.02,4.74,3.16,658,cluster4
0.1229,2.54,6.99,2.34,485,cluster4
0.0795,1.44,2.67,4.91,631,cluster4
0.0858,2.19,5.43,2.84,1140,cluster4
0.119,2.23,5.6,2.77,487,cluster4
0.126,2.6,7.27,2.27,455,cluster4
0.1429,2.37,8.92,4.11,284,cluster3
0.06,2.65,7.51,2.22,363,cluster4
0.0753,2.31,5.95,2.65,731,cluster4
0.0706,2.84,8.45,2.03,962,cluster4
0.0529,2.76,8.05,2.1,885,cluster4
0.0932,2.87,8.6,2,787,cluster4
0.1527,2.86,8.55,2.01,615,cluster3
0.1229,1.55,3.02,4.46,580,cluster4
0.0164,1.3,2.24,5.6,1815,cluster4
0.0392,1.8,3.89,3.67,1173,cluster4
0.072,3.17,10.2,1.76,865,cluster4
0.1106,2.38,6.26,2.55,698,cluster4
0.0289,1.35,2.39,5.34,1692,cluster4
0.0785,2.83,8.4,2.04,1026,cluster4
0.0361,1.52,2.92,4.57,1197,cluster4
0.068,2.5,6.8,2.39,872,cluster4
0.074,7.74,28.5,0.334,854,cluster3
0.0971,4.86,15.9,0.94,745,cluster3
0.0344,1.14,14,51.4,1252,cluster4
0.049,1.52,2.92,4.57,939,cluster4
0.1184,3.95,14.8,1.32,739,cluster3
0.1208,3.13,9.96,1.78,720,cluster3
0.0806,2.56,7.08,2.32,848,cluster4
0.0385,1.87,4.16,3.5,861,cluster4
0.0668,2.78,8.15,2.08,653,cluster4
0.076,1.84,4.04,2.7,500,cluster4
0.107,2.49,6.76,5.4,420,cluster4
0.0785,2.52,6.9,2.37,542,cluster4
0.0834,2.43,6.48,2.48,1006,cluster4
0.028,1.75,8,8.2,1103,cluster4
0.1104,2.39,6.3,2.54,758,cluster4
0.1211,2.39,6.3,2.54,801,cluster4
0.0127,0.89,0.64,4.99,2271,cluster4
0.0549,1.57,3.09,4.39,1091,cluster4
0.0516,1.56,3.05,4.41,1002,cluster4
0.0886,2.41,6.39,2.51,764,cluster4
0.134,3.49,12,1.55,902,cluster3
0.0413,1.54,2.99,4.5,1120,cluster4
0.0338,1.21,1.92,5.96,914,cluster4
0.0131,1.14,2.49,8.9,1818,cluster4
0.0769,2.03,21.3,12.8,750,cluster4
0.0409,1.96,4.5,3.28,1529,cluster4
0.10356,11.209,126.49634,0.405,1030,cluster1
0.03308,1.343,11.26,26.26,1121,cluster4
0.06666,1.281,12.81,33.91,790,cluster4
0.15224,2.358,21.14,8.85,523,cluster3
0.0353,18.405,392.83788,0.37,1838,cluster1
0.046,14.572,273.3338,0.56,1587,cluster1
0.0441,1.1,1.37,5.66,502,cluster4
0.0576,1,0.972,5.34,427,cluster4
0.0685,1.1,1.37,5.66,399,cluster4
0.154,5.4,19,0.64,709,cluster3
0.247,7.5,15.4,0.2,560,cluster3
0.0513,2,4.66,3.2,586,cluster4
0.1159,1.8,3.89,3.67,389,cluster4
0.1567,2.55,7.04,2.33,507,cluster3
0.0494,2.54,6.99,2.34,416,cluster4
0.1087,2.17,5.35,2.88,1035,cluster4
0.1817,2.01,4.7,3.18,801,cluster3
0.1418,1.75,3.71,3.8,638,cluster4
0.0959,4.34,17.4,1.17,923,cluster3
0.0602,3.49,12,1.55,977,cluster4
0.0304,2.12,5.14,2.96,979,cluster4
0.0615,2.19,5.43,2.84,688,cluster4
0.0699,2.57,7.13,2.31,886,cluster4
0.1151,2.79,8.2,2.07,1061,cluster4
0.0459,2.44,6.53,2.47,958,cluster4
0.0694,2.35,6.12,2.59,437,cluster4
0.1041,1.74,3.68,3.84,639,cluster4
0.0448,1.63,3.29,4.17,791,cluster4
0.0923,2.19,5.43,2.84,551,cluster4
0.0274,2.9,8.75,1.97,1034,cluster4
0.0578,2.63,7.41,2.24,845,cluster4
0.0216,0.83,0.498,4.79,789,cluster4
0.149,3,9.27,1.89,831,cluster3
0.1271,2.32,5.99,2.64,795,cluster4
0.0962,2.67,7.61,2.2,430,cluster4
0.0404,17.396,451.3186,0.5,1957,cluster1
0.102,9.528,70.87609,0.483,1080,cluster3
0.2573,2.41,14.8,5.7,470,cluster3
0.05023,2.231,5.61,2.78,496,cluster4
0.11283,2.668,7.6,2.2,331,cluster4
0.01306,3.3,11.26782,1.77,1515,cluster4
0.0679,0.705,0.29013,4.51,664,cluster4
0.1035,2.93,8.9,2.03,538,cluster4
0.1249,2.73,14.3,2.21,490,cluster4
0.0308,1.41,2.57,5.04,1121,cluster4
0.0819,2.69,7.7,2.17,688,cluster4
0.0531,1.57,3.09,4.39,1429,cluster4
0.06702,4.48,30.9,1.87,902,cluster4
0.0247,1.38,2.48,5.19,1203,cluster4
0.0497,2.95,9.01,1.93,848,cluster4
0.077,7.28,41.8,0.595,893,cluster3
0.1081,2.91,8.8,1.96,655,cluster4
0.0974,4.42,17.9,1.14,672,cluster3
0.1064,2.2,5.48,2.83,589,cluster4
0.04,2.24,5.65,2.76,905,cluster4
0.075,2.34,6.08,2.61,660,cluster4
0.1291,3.77,13.7,1.4,583,cluster3
0.0675,2.07,4.94,3.06,958,cluster4
0.0488,2.98,9.17,1.9,1711,cluster4
0.067,1.21,1.92,5.96,879,cluster4
0.0214,2.32,5.99,2.64,568,cluster4
0.1488,7.67,45.6,0.555,744,cluster3
0.0773,8.18,50.9,0.511,665,cluster3
0.0499,2.82,8.35,2.05,1057,cluster4
0.0291,3.52,12.2,1.54,1186,cluster4
0.04771,2.78,8.15,2.08,653,cluster4
0.03817,2.59,9.68,3.07,1089,cluster4
0.0824,3.53,15.68,1.95,741,cluster4
0.1768,2.1,5.06,3,347,cluster3
0.1206,9.494,100.11645,0.643,804,cluster3
0.164,1.9,4.27,3.42,226,cluster3
0.107,9.1,61,0.445,753,cluster3
0.04217,13.339,232.0159,0.53,1171,cluster1
0.0923,3.06,10.9,4.1,1230,cluster4
0.305,11.276,246.00042,1.01,676,cluster1
0.13,2.63,24.5,7.4,795,cluster4
0.0451,10.054,106.47305,0.612,852,cluster1
0.074,1.98,6.48,3.7,504,cluster4
0.1345,1.56,2.14,2.98,374,cluster4
0.2097,1.53,2.8,5.62,282,cluster3
0.04839,11.646,184.02357,0.64,1092,cluster1
0.0147,1.33,2.33,5.44,841,cluster4
0.0582,1.83,4.01,3.6,423,cluster4
0.0542,2.93,8.91,1.95,432,cluster4
0.0911,1.66,3.39,4.07,456,cluster4
0.1516,2.79,8.2,2.07,641,cluster3
0.0795,5.299,15,0.55,837,cluster3
0.13843,3.134,8.1,1.43,634,cluster3
0.18422,3.484,6.7,0.87,550,cluster3
0.04899,1.212,2.1,6.3,1066,cluster4
0.0142,2.62,7.37,2.25,698,cluster4
0.041,1.95,4.46,3.31,701,cluster4
0.0594,1.92,4.35,3.38,635,cluster4
0.1275,2.1,5.06,3,318,cluster4
0.0331,2.43,6.48,2.48,707,cluster4
0.0419,2.2,5.48,2.83,423,cluster4
0.0198,2.28,5.82,2.7,1114,cluster4
0.1016,8.676,82.6358,0.694,650,cluster3
0.0426,13.96,539.67534,0.94,1559,cluster1
0.031,1.32,2.3,5.5,979,cluster4
0.055,1.93,4.38,3.35,766,cluster4
0.0223,1.43,3.9,7.2,1224,cluster4
0.054,3.2,7.8,1.3,788,cluster4
0.0511,1.61,3.22,4.24,974,cluster4
0.0654,2.75,8,2.11,861,cluster4
0.1103,2.73,7.9,2.13,663,cluster4
0.05073,1.906,19.0698,17.5,1184,cluster4
0.0964,2.42,9.9,3.6,858,cluster4
0.05708,6.277,28.6047,0.5,1670,cluster3
0.078,2.1,5.06,3,563,cluster4
0.03784,4.51,18.5,1.11,939,cluster4
0.06,2.433,6.5,2.48,1211,cluster4
0.13821,2.05,4.86,3.1,889,cluster4
0.0532,1.91,4.31,3.4,565,cluster4
0.0818,2.26,5.73,2.73,456,cluster4
0.098,2.6,7.27,2.27,665,cluster4
0.1898,2.5,6.8,2.39,615,cluster3
0.045,7.656,135.39558,1.7,1400,cluster3
0.05983,2.49,21.3,7.8,1372,cluster4
0.1814,2.67,7.61,2.2,651,cluster3
