pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
0.04016,16.14,291.438,0.411,1442,cluster7
0.04823,14.123,209.13214,0.44,1624,cluster7
0.1192,3.76,13.6,1.41,771,cluster8
0.05071,13.809,410.0007,0.856,1741,cluster7
0.0545,0.8,0.437,4.69,1137,cluster1
0.073,1.98,4.58,3.24,865,cluster2
0.041,1.28,2.18,5.71,1177,cluster1
0.0514,2.63,7.41,2.24,1182,cluster4
0.3002,3.268,10.7,1.68,491,cluster4
0.117,2.55,7.04,2.33,588,cluster4
0.047,13.787,212.9461,0.444,1502,cluster7
0.092,2.36,6.17,2.58,780,cluster2
0.0376,1.52,2.92,4.57,1252,cluster1
0.215,10.63,79.4,0.363,472,cluster3
0.2716,2.87,8.6,2,492,cluster4
0.204,2.34,6.1,2.62,220,cluster2
0.3982,3.07,9.64,1.83,415,cluster4
0.10725,2.72,6.2,1.61,385,cluster4
0.1441,2.41,6.39,2.51,437,cluster2
0.01589,1.264,1.86,5.03,773,cluster1
0.109,2,4.66,3.2,613,cluster2
0.0413,2.52,6.9,2.37,535,cluster4
0.042717,1.639,5.08,6.4,2025,cluster1
0.0887,2.64,7.46,2.23,794,cluster4
0.04,2.35,6.12,2.59,1256,cluster2
0.0833,1.55,3.02,4.46,660,cluster1
0.077,1.47,2.76,4.77,742,cluster1
0.0524,1.88,4.19,3.47,1174,cluster2
0.1979,2.764,8.07,2.1,661,cluster4
0.04269,12.52,117.27927,0.331,853,cluster7
0.1053,3.32,11,1.65,849,cluster4
0.0419,1.01,1.01,5.39,1213,cluster1
0.2739,2.31,5.95,2.65,524,cluster2
0.0774,2.91,8.8,1.96,782,cluster4
0.0307,2.18,5.39,2.86,1540,cluster2
0.07,2.65,7.51,2.22,946,cluster4
0.3237,1.9,4.27,3.42,471,cluster2
0.1229,1.55,3.02,4.46,580,cluster1
0.077,2.43,6.48,2.48,751,cluster2
0.0499,1.14,1.55,5.75,907,cluster1
0.0627,4.3,17.1,1.18,1125,cluster8
0.0315,0.98,0.904,5.28,953,cluster1
0.06,2.65,7.51,2.22,363,cluster4
0.236,2.49,6.76,2.41,554,cluster4
0.024,1.27,2.15,5.77,1655,cluster1
0.141,2.35,6.12,2.59,563,cluster2
0.1272,2.24,5.65,2.76,721,cluster2
0.0752,3.3,6,0.917,728,cluster8
0.105,1.96,4.5,3.28,763,cluster2
0.02332,12.812,411.27202,1.076,1418,cluster7
0.04,14.3,152.5584,0.287,990,cluster7
0.0719,1.33,2.33,5.44,744,cluster1
0.0649,2.09,5.02,3.02,460,cluster2
0.1341,3.22,10.5,1.73,674,cluster4
0.0414,12.89,785.0401,2.14,1463,cluster6
0.115,3.07,9.64,1.83,888,cluster4
0.029,1.53,2.96,4.54,829,cluster1
0.253,1.2,1.87,5.95,357,cluster1
0.0834,2.43,6.48,2.48,1006,cluster2
0.02282,14.975,607.03,0.994,1638,cluster6
0.201,1.69,3.5,3.98,660,cluster2
0.2388,3.3,10.9,1.67,411,cluster4
0.076,1.52,2.92,4.57,1196,cluster1
0.0162,0.8,0.437,4.69,1872,cluster1
0.262,3.89,42.44,3.98,385,cluster8
0.122,2.26,5.73,2.73,668,cluster2
0.068,1.03,1.08,5.43,994,cluster1
0.0528,1.25,2.1,5.91,1305,cluster1
0.0734,2.21,5.52,2.81,805,cluster2
0.2578,4.32,79.4,5.41,709,cluster5
0.0719,1.33,2.33,5.44,744,cluster1
0.0378,1.37,2.45,5.24,704,cluster1
0.1455,4.6,4.8,0.28,751,cluster8
0.1038,1.57,3.09,4.39,698,cluster1
0.097,1.59,3.15,4.31,882,cluster1
0.01223,0.903,0.674,5.03,611,cluster1
0.075,1.36,2.42,5.29,1081,cluster1
0.0409,1.96,4.5,3.28,1529,cluster2
0.09,1.59,3.15,4.31,806,cluster1
0.03101,14.46,177.98,0.33,1790,cluster7
0.063,17.878,235.1942,0.226,1468,cluster7
0.0852,2.06,4.9,3.08,749,cluster2
0.0648,1.47,2.76,4.77,1064,cluster1
0.2383,3.236,10.5,1.7,578,cluster4
