hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,lum_class,sub_class
HD 204313,G,5783,1.1,1.03,0.16,[Fe/H],0.1,4.37,3.38,1.01537,V,5
HD 204941,K,5026,0.78,0.58,-0.19,[Fe/H],-0.509,4.42,6.67,2.35641,V,1
HD 205739,F,6176,1.33,1.22,0.19,[Fe/H],0.36,4.29,2.84,0.67944,V,7
HD 206255,G,5635,2.22,1.42,,,0.652,3.75,,0.12981,IV-V,5
HD 206610,K,4842,6.12,1.55,0.14,[Fe/H],1.276,3.22,3,,III,0
HD 20781,K,5256,0.83,0.7,-0.11,[Fe/H],-0.31,4.37,,1.96197,V,0
HD 20782,G,5782.13,1.13,1.04,-0.054,[M/H],0.107,4.35,5.53,1.02483,V,1
HD 207832,G,5726,0.89,1.05,0.14,[Fe/H],-0.11,4.48,1.36,1.5247,V,5
HD 20794,G,5401,0.92,0.7,-0.4,[Fe/H],-0.163,4.22,5.76,1.70389,V,8
HD 208487,G,6067,1.2,1.13,0.022,[Fe/H],0.244,4.33,8.15,1.04801,V,2
HD 208527,M,4035,51.1,1.6,-0.09,[Fe/H],2.863,1.4,2,,III,1
HD 20868,K,4802,0.76,0.39,0.05,[Fe/H],-0.529,4.26,4.5,2.45251,IV,3
HD 208897,K,4860,4.98,1.25,0.21,[Fe/H],1.09,3.13,,,III,0
HD 209458,G,6091,1.19,1.23,0.01,[Fe/H],0.231,4.45,3.1,1.04,V,0
HD 210193,G,5790,1.06,1.04,0.13,[M/H],0.056,4.43,,1.35404,V,3
HD 210277,G,5538,1.07,1.01,0.22,[Fe/H],-0.032,4.38,12,0.99454,V,0
HD 210702,K,4951,4.92,1.61,0.04,[Fe/H],1.149,3.28,2.1,,III,1
HD 211810,G,5652,1.13,1.03,0.17,[Fe/H],0.07,4.26,,0.77107,V,5
HD 211970,K,4127,0.57,0.61,,,-1.065,4.69,,4.2377,V,7
HD 212301,F,6239,1.16,1.55,0.18,[Fe/H],0.243,4.5,1,1.08321,V,8
HD 212771,G,5003,5.27,1.56,-0.21,[Fe/H],1.188,3.31,6,,IV,8
HD 213240,G,5979,1.51,1.57,0.15,[Fe/H],0.429,4.27,4.6,0.44103,V,0
HD 213885,G,5978,1.1,1.07,-0.04,[Fe/H],0.139,4.38,3.8,1.127,V,
HD 21411,G,5605,0.83,0.89,-0.265,[M/H],-0.266,4.51,,2.40502,V,8
HD 214823,G,5933,2.04,1.31,0.14,[Fe/H],0.67,4.05,4.34,0.15941,IV,0
HD 215152,K,4935,0.73,0.77,-0.1,[Fe/H],-0.523,4.4,,2.39889,V,3
HD 215497,K,5110,0.85,0.67,0.2,[Fe/H],-0.41,4.4,7,1.97785,V,3
HD 216435,G,5999,1.8,1.3,0.244,[Fe/H],0.557,4.15,3,0.28418,V,0
HD 216437,G,5909,1.39,1.17,0.2,[Fe/H],0.35,4.19,4.75,0.45928,IV,2
HD 216520,K,5103,0.76,0.82,-0.16,[Fe/H],-0.452,4.54,6,2.39462,V,2
HD 216536,K,4639,9.83,0.81,-0.17,[Fe/H],1.8,2.36,3.8,,IV,0
HD 216770,G,5399,0.93,0.74,0.27,[Fe/H],-0.1,4.37,3.1,1.48999,V,9
HD 21693,G,5430,0.91,0.8,0,[Fe/H],-0.208,4.37,,1.70311,V,8
HD 217107,G,5622,1.11,1,0.36,[Fe/H],0.098,4.34,5.84,0.80093,IV,8
HD 217786,F,5966,1.27,1.02,-0.135,[Fe/H],0.276,4.35,7.6,0.77578,V,8
HD 217850,G,5544,1.21,1.03,0.26,[Fe/H],0.1,4.17,7.59,0.56721,V,8
HD 218566,K,4730,0.85,0.76,0.28,[Fe/H],-0.452,4.46,8.5,2.02846,V,3
HD 219077,G,5362,1.91,1.05,-0.13,[Fe/H],0.425,4,8.9,0.1703,V,8
HD 219134,K,4699,0.78,0.81,0.11,[Fe/H],-0.577,4.57,11,2.438,V,3
HD 219415,K,4820,2.9,1,-0.04,[Fe/H],0.62,3.51,7.233,,III,0
HD 219828,G,5807,1.61,1.18,0.18,[Fe/H],0.42,4.17,5.69,0.32597,IV,0
HD 220074,M,3787,54.92,2.2,-0.25,[Fe/H],2.894,1.3,4.5,,III,2
HD 220197,G,5683,0.98,0.91,-0.55,[Fe/H],-0.003,4.42,10.165,1.3056,V,5
HD 220689,G,5921,1.07,1.02,-0.07,[Fe/H],0.093,4.36,4.586,0.9754,V,3
HD 220773,F,5940,1.68,1.16,0.09,[Fe/H],0.498,4.24,4.4,0.33411,V,9
HD 220842,F,5960,1.42,1.13,-0.17,[Fe/H],0.357,4.24,,0.51898,V,8
HD 221287,F,6304,1.14,1.25,-0.03,[Fe/H],0.22,4.43,1.3,1.21286,V,7
HD 221416,K,5080,2.94,1.21,-0.08,[Fe/H],0.712,3.58,4.9,0.06702,IV-V,0
HD 221420,G,5830,2,1.67,0.29,[Fe/H],0.603,4.08,,0.20818,IV-V,2
HD 221585,G,5620,1.85,1.19,0.29,[Fe/H],0.422,4.05,6.2,0.216,IV,8
HD 222076,K,4806,4.1,1.07,0.05,[Fe/H],0.929,3.31,,,III,0
HD 222155,G,5701,1.85,1.21,-0.18,[Fe/H],0.509,3.99,8.2,0.24399,V,2
HD 222582,G,5790,1.13,1.12,0.01,[Fe/H],0.115,4.38,10.24,1.00725,V,5
HD 224538,F,6097,1.54,1.34,0.27,[Fe/H],0.47,4.19,2,0.53144,IV-V,9
HD 224693,G,5894,1.93,1.31,0.27,[Fe/H],0.61,4.38,4.12,0.23333,V,2
HD 22781,K,5027,0.74,0.75,-0.37,[Fe/H],-0.476,4.6,4.8,2.83035,V,1
HD 23079,F,5974,1.07,1.12,-0.13,[Fe/H],0.133,4.43,2,1.22361,V,9
HD 23127,G,5843,1.49,1.21,0.29,[Fe/H],0.452,4.15,4.508,0.33294,V,2
HD 231701,F,6101,1.53,1.21,0.05,[Fe/H],0.47,4.31,3.43,0.52688,V,8
HD 233604,K,4791,10.9,1.5,-0.36,[Fe/H],1.75,2.55,2.4,,III,5
HD 233832,G,4981,0.68,0.71,-0.66,[Fe/H],-0.523,4.49,5.417,2.87189,V,0
HD 23472,K,4813,0.73,0.75,-0.19,[M/H],-0.636,4.38,,3.32753,V,3
HD 23596,F,6040,1.53,1.47,0.28,[Fe/H],0.458,4.23,5.68,0.39478,V,8
HD 238090,M,3933,0.57,0.58,-0.03,[Fe/H],-1.154,4.7,,4.05064,V,0
HD 238914,K,4769,12.73,1.47,-0.25,[Fe/H],1.85,2.37,,,III,7
HD 240210,K,4297,25.46,0.82,-0.18,[Fe/H],1.55,2.31,5.085,,III,3
HD 240237,K,3926,71.23,8.76,-0.25,[Fe/H],2.49,1.67,4.42,,III,2
