pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_pubdate,disc_locale,disc_facility,disc_telescope,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
Kepler-222 c,Kepler-222,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,10.08881,0.091,4.64,0.414,19.4,0.0612,1.07,M-R relationship,0,59.08,734,1,,5433,0.87,0.88,0.05,[Fe/H],-0.338,4.55,0.7,2.44462,19h11m37.46s,287.9060885,+46d56m15.89s,46.9377479,758.854,15.407,13.235,15.0603
Kepler-222 d,Kepler-222,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,28.081912,0.18,3.69,0.329,13.2,0.0415,1.44,M-R relationship,0,15.09,522,1,,5433,0.87,0.88,0.05,[Fe/H],-0.338,4.55,0.7,2.17808,19h11m37.46s,287.9060885,+46d56m15.89s,46.9377479,758.854,15.407,13.235,15.0603
Kepler-223 b,Kepler-223,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,7.38449,0.0756,2.99,0.267,7.4,0.02328,1.54,Mass,0.078,444.05,1042,1,,5803,1.72,1.12,0.19,[M/H],0.371,4.46,7.2,0.4236,19h53m16.41s,298.3183909,+47d16m46.14s,47.2794824,1859.71,15.69,13.633,15.3951
Kepler-223 c,Kepler-223,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,9.84564,0.0916,3.44,0.307,5.1,0.01605,0.71,Mass,0.15,302.47,947,1,,5803,1.72,1.12,0.19,[M/H],0.371,4.46,7.2,0.27849,19h53m16.41s,298.3183909,+47d16m46.14s,47.2794824,1859.71,15.69,13.633,15.3951
Kepler-223 d,Kepler-223,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,14.78869,0.1201,5.24,0.467,8,0.02517,0.31,Mass,0.037,175.95,827,1,,5803,1.72,1.12,0.19,[M/H],0.371,4.46,7.2,0.58731,19h53m16.41s,298.3183909,+47d16m46.14s,47.2794824,1859.71,15.69,13.633,15.3951
Kepler-223 e,Kepler-223,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,19.72567,0.1455,4.6,0.41,4.8,0.0151,0.28,Mass,0.051,119.88,751,1,,5803,1.72,1.12,0.19,[M/H],0.371,4.46,7.2,0.00401,19h53m16.41s,298.3183909,+47d16m46.14s,47.2794824,1859.71,15.69,13.633,15.3951
Kepler-224 b,Kepler-224,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,3.132924,0.038,1.39,0.124,2.51,0.0079,5.14,M-R relationship,0,201.49,937,0,,5018,0.68,0.82,-0.27,[Fe/H],-0.514,4.64,2.29,2.69909,19h23m44.22s,290.9342679,+47d21m27.15s,47.3575414,782.088,15.801,13.703,15.6358
Kepler-224 c,Kepler-224,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,5.925003,0.058,3.12,0.278,9.91,0.0312,1.79,M-R relationship,0,86.33,758,0,,5018,0.68,0.82,-0.27,[Fe/H],-0.514,4.64,2.29,0.52473,19h23m44.22s,290.9342679,+47d21m27.15s,47.3575414,782.088,15.801,13.703,15.6358
Kepler-224 d,Kepler-224,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,11.349393,0.089,2.3,0.205,5.9,0.0186,2.66,M-R relationship,0,36.29,610,0,,5018,0.68,0.82,-0.27,[Fe/H],-0.514,4.64,2.29,3.47552,19h23m44.22s,290.9342679,+47d21m27.15s,47.3575414,782.088,15.801,13.703,15.6358
Kepler-224 e,Kepler-224,1,4,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,18.643577,0.124,1.97,0.176,4.54,0.0143,3.26,M-R relationship,0,18.73,517,0,,5018,0.68,0.82,-0.27,[Fe/H],-0.514,4.64,2.29,31.06171,19h23m44.22s,290.9342679,+47d21m27.15s,47.3575414,782.088,15.801,13.703,15.6358
Kepler-225 b,Kepler-225,1,2,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,6.738975,0.056,1.2,0.107,1.87,0.00588,5.95,M-R relationship,0,38.88,579,0,M1 V,3682,0.48,0.59,-0.04,[Fe/H],-0.996,4.78,2.88,2.7212,19h28m46.56s,292.1939846,+47d27m25.49s,47.4570808,561.101,16.294,13.253,15.9504
Kepler-225 c,Kepler-225,1,2,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,18.794234,0.111,1.84,0.164,4.04,0.0127,3.56,M-R relationship,0,9.9,412,0,M1 V,3682,0.48,0.59,-0.04,[Fe/H],-0.996,4.78,2.88,4.09291,19h28m46.56s,292.1939846,+47d27m25.49s,47.4570808,561.101,16.294,13.253,15.9504
Kepler-226 b,Kepler-226,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,3.940997,0.047,1.55,0.138,24,0.076,35.4,Mass,0,270.4,1018,0,,5571,0.8,0.91,0.16,[Fe/H],-0.239,4.59,0.5,2.13629,19h29m30.26s,292.3760942,+47d52m51.45s,47.8809596,980.138,15.563,13.633,15.4026
Kepler-226 c,Kepler-226,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,5.349555,0.058,2.27,0.203,45.2,0.142,21.2,Mass,0,180.51,919,0,,5571,0.8,0.91,0.16,[Fe/H],-0.239,4.59,0.5,1.73782,19h29m30.26s,292.3760942,+47d52m51.45s,47.8809596,980.138,15.563,13.633,15.4026
Kepler-226 d,Kepler-226,1,3,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,8.109044,0.076,1.22,0.109,1.98,0.00624,5.99,M-R relationship,0,103.64,800,0,,5571,0.8,0.91,0.16,[Fe/H],-0.239,4.59,0.5,1.5302,19h29m30.26s,292.3760942,+47d52m51.45s,47.8809596,980.138,15.563,13.633,15.4026
Kepler-227 b,Kepler-227,1,2,Transit,2014,2014-03-01T01:00:00Z,Space,Kepler,0.95 m Kepler Telescope,0,9.488015,0.09,3.11,0.277,9.85,0.031,1.8,M-R relationship,0,104.64,793,0,,5854,1.09,0.92,0.081,[M/H],-0.121,4.4,7.7,3.20796,19h27m44.23s,291.9342748,+48d08m30.03s,48.141676,1083.06,15.623,13.648,15.3234
