pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
3.69771,0.0345,2.77,8.8,2.28,531,cluster7
5.19672,0.056,2.68,7.17,2.05,981,cluster7
16.06819,0.1189,5.09,16.42,0.685,674,cluster7
16.287,0.1174,2.32,3,1.3,750,cluster7
1.651144,0.02734,11.433,464.98529,1.7,1714,cluster8
3.409568,0.0486,11.882,2011.8639,6.58,1586,cluster2
5.003777,0.06608,19.851,279.6904,0.195,1749,cluster6
5.6057,0.06,2.28,9.79,4.51,1038,cluster7
12.2737,0.1011,2.63,9.32,2.82,800,cluster7
8.24661,0.0652,1.85,4,3.4,514,cluster5
15.6653,0.1,2.02,5.3,3.5,415,cluster7
1.392978,0.02177,2.926,18.467,4.03,1253,cluster7
3.739494,0.04666,13.126,211.99261,0.515,1192,cluster6
3.684973,0.04963,9.55,55.30242,0.35,1526,cluster6
1.510871,0.01111,1.086,0.85,3.6,400,cluster5
2.421823,0.01521,1.056,1.38,6.45,342,cluster5
4.04961,0.02144,0.772,0.41,4.9,288,cluster5
6.099615,0.02817,0.918,0.62,4.4,251,cluster5
9.20669,0.0371,1.045,0.68,3.3,219,cluster5
12.35294,0.0451,1.127,1.34,5.2,199,cluster5
1.482247,0.02459,13.384,568.9157,1.31,1480,cluster8
3.092762,0.03781,12.106,1001.12,4.14,1370,cluster2
0.925542,0.01985,17.127,473.547,0.55,2508,cluster8
1.755414,0.02918,12.745,404.263,1.074,1516,cluster8
7.87288,0.075,10.761,572.094,2.65,900,cluster2
4.542169,0.05885,15.793,150.96925,0.228,1496,cluster6
1.548774,0.02851,15.009,562.24127,0.97,2043,cluster8
4.046043,0.05453,16.141,163.36462,0.233,1729,cluster6
2.49979,0.0363,15.693,390.9309,0.7,1600,cluster8
3.611271,0.0514,16.511,1541.4755,2,1880,cluster1
2.977641,0.04263,14.773,285.72917,0.521,1520,cluster6
3.37265,0.0449,13.899,190.698,0.43,1400,cluster6
5.748145,0.0628,10.424,317.83,1.6,1100,cluster2
11.55098,0.1012,9.976,390.9309,2.34,833,cluster2
5.322023,0.0607,13.675,85.8141,0.2,1460,cluster6
7.133521,0.067,9.752,130.3103,0.84,763,cluster4
2.176423,0.0345,13.563,368.6828,0.88,1790,cluster8
5.215357,0.0661,15.468,479.9233,0.773,1742,cluster2
3.634433,0.0494,12.218,387.7526,1.2,1590,cluster1
5.924262,0.062,8.967,37.18611,0.31,910,cluster6
2.235984,0.0323,16.141,775.5052,1.1,1320,cluster8
3.310651,0.0469,13.563,854.9627,1.98,1540,cluster1
2.052868,0.0347,17.15,266.9772,0.31,2000,cluster8
2.278315,0.0316,9.528,139.8452,0.95,1260,cluster8
1.769038,0.0261,10.088,282.8687,1.6,1200,cluster8
4.60273,0.0549,12.498,87.40325,0.263,1404,cluster6
8.80381,0.0845,8.093,92.48853,0.96,940,cluster4
5.644207,0.0694,11.994,2688.8418,8.54,1460,cluster2
4.533471,0.055,12.666,98.5273,0.29,1290,cluster6
3.332609,0.048,17.374,123.9537,0.15,1700,cluster6
3.836169,0.0453,5.717,40.68224,1.3,970,cluster1
3.656333,0.0517,11.994,886.7457,3.1,1590,cluster1
3.840401,0.0538,15.468,174.8065,0.28,1850,cluster6
3.768495,0.0452,12.218,88.35674,0.284,1119,cluster6
5.406042,0.0673,12.812,791.3967,2.2,1557,cluster2
9.62468,0.0871,11.209,1652.716,6.9,910,cluster2
1.609688,0.0266,13.473,594.3421,1.42,1638,cluster8
1.777125,0.02818,12.644,676.9779,1.96,1610,cluster8
3.465509,0.04823,14.123,209.13214,0.44,1624,cluster6
5.44354,0.0641,7.062,32.10083,0.54,1270,cluster4
4.153658,0.0519,16.814,133.4886,0.16,1340,cluster6
5.611412,0.0681,14.617,178.30263,0.33,1604,cluster6
2.34478,0.0337,12.285,508.528,1.6,1422,cluster8
3.818624,0.0504,10.985,344.52772,1.5,1642,cluster1
5.477433,0.0694,17.598,149.3801,0.16,1740,cluster6
1.386653,0.0248,13.451,1172.7927,2.84,1880,cluster2
3.065291,0.04403,13.54,314.6517,0.74,1571,cluster1
3.899052,0.0535,16.87,271.74465,0.31,1721,cluster6
3.071722,0.03957,17.71,161.45764,0.172,1142,cluster6
3.409264,0.048,13.899,286.047,0.61,1540,cluster6
4.519506,0.05427,13.271,95.03117,0.237,1186,cluster6
3.376985,0.0451,9.528,47.03884,0.318,1479,cluster6
4.111777,0.04632,16.477,159.55066,0.21,1111,cluster6
5.1817,0.0627,14.908,181.1631,0.32,1480,cluster6
9.38755,0.0904,14.011,311.4734,0.66,1160,cluster4
0.788839,0.01634,15.603,339.76027,0.492,2520,cluster8
2.878677,0.0408,13.787,731.009,1.62,1620,cluster1
2.152175,0.03144,12.117,295.89973,0.914,1311,cluster8
4.899628,0.06,16.388,98.841,0.132,1379,cluster6
3.40883,0.04469,13.597,288.26,0.676,1468,cluster6
1.21987,0.0239,17.856,665.21819,0.689,2782,cluster8
1.537366,0.02677,14.874,750.39663,1.26,1733,cluster8
4.981682,0.0561,12.576,167.49641,0.464,1021,cluster6
2.423804,0.03453,12.33,276.5121,0.811,1337,cluster8
3.126089,0.03963,10.604,306.38812,1.418,1153,cluster1
1.430368,0.02335,13.159,607.0553,1.467,1636,cluster8
1.628428,0.0267,12.184,502.15,1.64,1706,cluster8
1.9551,0.0293,13.07,466.8287,1.325,1395,cluster8
1.74978,0.0272,14.24,146.2,0.29,1315,cluster8
3.309844,0.04101,12.038,677.61356,2.28,1053,cluster1
2.838919,0.03769,11.769,204.68252,0.693,1338,cluster6
7.919585,0.0697,8.687,274.276,2.4,670,cluster2
1.573292,0.02648,14.247,403.945,0.823,1689,cluster8
2.311424,0.0334,12.464,492.62,1.5,1480,cluster8
4.954642,0.0617,14.908,305.1168,0.55,1487,cluster6
3.71302,0.04853,13.047,187.512,0.499,1387,cluster6
2.484193,0.0375,14.235,340.06,0.69,1710,cluster8
3.067852,0.0344,11.198,170.99254,0.717,825,cluster6
2.716476,0.03908,16.018,231.69807,0.332,1623,cluster6
4.971252,0.059,11.657,95.349,0.35,1120,cluster6
8.523487,0.0771,10.559,220.565,1.104,797,cluster4
2.655678,0.039,13.899,402.05495,0.88,1452,cluster8
3.356423,0.0427,11.657,1875.197,7,1120,cluster2
3.916243,0.0562,18.271,200.2329,0.193,1840,cluster6
2.798581,0.037,11.545,425.8922,1.59,1160,cluster8
2.174674,0.0348,16.376,255.85315,0.346,1871,cluster8
2.732532,0.04211,17.901,467.2101,0.479,1942,cluster1
3.42526,0.0453,13.45,152.55,0.37,1285,cluster6
2.96264,0.03762,12.823,293.03926,0.764,1171,cluster8
3.352057,0.047,16.7,1274.44,1.61,1500,cluster1
1.018707,0.01855,15.278,355.9696,0.54,2000,cluster8
2.663416,0.0282,11.561,188.15536,0.72,2198,cluster8
1.752224,0.0234,12.993,232.33373,0.62,2470,cluster8
4.187756,0.0515,12.78,378.2,1.06,1230,cluster1
2.864142,0.04421,15.39,225.34147,0.34,1743,cluster6
6.2679,0.06839,2.042,4.82,2.97,1170,cluster5
