hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_bmag,sy_vmag,sy_gaiamag,lum_class
K2-59,K,5055,0.73,0.77,,-0.66,4.59,,4.00081,15.154,14.266,13.9395,V
HATS-72,K,4656.1,0.72,0.73,0.099,-0.659,4.59,12.17,2.743,13.595,12.324,12.0725,V
K2-48,K,4899,0.73,0.77,-0.19,-0.657,4.6,,2.6926,15.286,14.345,13.9677,V
Kepler-1032,K,4647,0.71,0.77,0.16,-0.655,4.62,1.86,7.73587,17.567,16.007,15.7993,V
Kepler-378,K,4661,0.67,0.78,0.137,-0.655,4.65,3.24,3.00344,13.927,12.619,12.4551,V
Kepler-1161,M,4253,0.57,0.59,-0.35,-0.653,4.7,3.39,3.57023,17.225,16.163,15.8004,V
Kepler-1465,K,4726,0.71,0.75,-0.06,-0.652,4.62,3.72,30.77661,15.919,14.724,14.42,V
Kepler-1593,G,4995,0.77,0.81,0.02,-0.652,4.59,3.63,2.14,17.522,16.19,15.8836,V
Kepler-1446,K,4865,0.75,0.81,0.11,-0.651,4.6,2.63,3.39604,13.891,12.595,12.4086,V
Kepler-1039,K,4870,0.74,0.79,0.01,-0.649,4.6,4.37,1.07711,15.775,14.438,14.0958,V
K2-281,K,4812,0.76,0.82,0.22,-0.647,4.59,,4.354,16.218,15.048,14.7677,V
Kepler-1630,K,4736,0.63,0.66,-0.46,-0.646,4.66,5.01,7.73631,15.415,14.278,14.2049,V
Kepler-1461,K,4919,0.74,0.79,-0.04,-0.645,4.6,3.24,2.65917,16.944,15.828,15.6949,V
Kepler-543,K,4671,0.67,0.7,-0.19,-0.643,4.63,5.75,2.8465,15.372,13.598,13.3744,V
Kepler-1146,K,4692,0.7,0.74,-0.06,-0.642,4.62,4.9,3.92223,17.634,15.953,15.8497,V
Kepler-951,K,4834,0.73,0.77,-0.01,-0.642,4.6,4.27,3.54555,16.812,14.841,14.4908,V
Kepler-935,K,4830,0.73,0.78,-0.01,-0.639,4.61,3.8,2.40036,15.536,15.01,14.9002,V
Kepler-1341,K,4662,0.72,0.79,0.19,-0.638,4.62,1.82,1.19696,16.61,15.356,15.0181,V
Kepler-202,K,4668,0.67,0.68,-0.263,-0.638,4.65,3.24,4.24656,15.232,14.178,13.8433,V
Kepler-1110,M,4781,0.7,0.73,-0.16,-0.637,4.62,4.79,2.74996,17.014,16.274,15.8872,V
Kepler-1688,K,4632.11,0.75,0.81,-0.046,-0.636,4.6,14,3.14359,15.345,14.142,13.9862,V
Kepler-1653,K,4807,0.69,0.72,-0.18,-0.636,4.62,7.7,2.16,16.983,15.864,,V
EPIC 201841433,K,5053,0.63,0.8,0,-0.635,4.59,,2.65207,15.919,14.983,14.5885,V
Kepler-960,K,4755,0.72,0.77,0.02,-0.629,4.61,3.63,8.96358,15.865,14.127,13.8413,V
Kepler-1315,K,4861,0.75,0.8,0.07,-0.628,4.6,3.47,2.49769,16.253,15.133,14.9517,V
Kepler-660,K,4779,0.71,0.75,-0.07,-0.626,4.61,4.57,1.93557,17.145,15.559,15.2644,V
Kepler-1363,K,4839,0.72,0.76,-0.09,-0.626,4.61,4.17,3.10018,16.728,15.454,15.2923,V
Kepler-1143,K,5053,0.77,0.81,-0.06,-0.623,4.58,4.79,6.48761,16.422,15.493,15.1938,V
Kepler-533,K,4758,0.72,0.78,0.01,-0.62,4.61,3.24,1.02209,15.423,14.128,13.9246,V
Kepler-1206,K,4877,0.75,0.8,0.07,-0.62,4.6,3.55,4.7099,17.261,15.971,15.9286,V
